,servicesSubscripted,accountGroups,name,user,email,active,createdAt,updatedAt,invited,servicesSbubscripted,consoleUser,objectId,__type,className
11,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '1NmebvZM4B'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'PaZfnHbAKX'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'AV4kZRD5C8'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'EAorryKHxj'}, {'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': '7A9YFoKb1i'}]",sdsd,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'BNTjH18Ejd'}",sdsd@fdf.df,True,2018-08-13T16:21:56.658Z,2018-08-14T09:44:05.822Z,True,,,9itnHAx1x1,Object,AccountUser
12,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'OEpKnEFzHC'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'XD81v3ojVr'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'dlNr5bxDZW'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '5fugeUgMSA'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'vQ7iol2hl3'}]",[],kamdem,"{'__type': 'Pointer', 'className': '_User', 'objectId': '0ULHUAAtf3'}",kamdemfotsopatrickorel@gmail.com,True,2018-09-27T16:58:45.256Z,2018-09-27T16:58:45.594Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': '1jCnE220nA'}",ynIOb7Vtpc,Object,AccountUser
13,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '3Vxmc2Tb7R'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'gXvF9jKCRX'}]",[],J G,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'JVEJq4hHlI'}",jgabin200@gmail.com,True,2018-10-02T12:12:59.756Z,2018-10-02T12:13:02.382Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",M6iKlw4Rxv,Object,AccountUser
14,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '9wbgxblQwQ'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'l6jEV3qWDj'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'to7ZaLbJ0Y'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'XSJNcd3WS1'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'qrBv87fiYu'}]",[],DFcDF,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",jga@gfff.ng,True,2019-06-05T11:04:16.788Z,2019-06-19T16:26:04.311Z,True,,,oTsGRjymkf,Object,AccountUser
15,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': '2xckvM4c2c'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'aAW1Hj3M4x'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'bz8GD3kDNZ'}]",[],Maurice,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'gkNS6OhXdu'}",mnankeng@gmail.com,True,2019-06-11T11:17:59.604Z,2019-08-09T09:19:33.136Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'tJOv4knhoj'}",XPpHbDJ5OO,Object,AccountUser
16,[],[],jores,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'KCPtdGl9RW'}",signe.maxime1@gmail.con,True,2019-06-17T15:08:51.810Z,2019-06-17T15:08:54.246Z,True,,,UcoNlPXwv0,Object,AccountUser
17,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'dZ1D9JebT9'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'dcIdBCbVo1'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'kKToPTYBzU'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'BiMQNMPPtE'}]",fgffgf,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'Wuht2SEQKc'}",dfgfgf@ghjk.com,True,2019-06-19T16:25:44.204Z,2019-06-19T16:26:27.188Z,True,,,RzSCeLGUYa,Object,AccountUser
18,[],[],vbgb,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'KCPtdGl9RW'}",frtbrgtb@gmail.com,True,2019-06-24T18:13:35.467Z,2019-06-24T18:13:44.365Z,True,,,Gx4Tj0se1F,Object,AccountUser
19,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'YF7j3f1lMl'}, {'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'hBz9HFbHUT'}]",[],tolmar,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'q9tvslyJrk'}",tolamarcleanup@gmail.com,True,2019-09-24T17:34:54.153Z,2019-09-24T17:34:57.859Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': '80PupPuABn'}",lCEiwtDciU,Object,AccountUser
20,[],[],phenau1,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'DsxxKYyZB5'}",djougang2001@gmail.com,True,2019-11-28T10:09:57.141Z,2020-04-01T13:43:19.255Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'R5BBYXbKvE'}",QjXfdhNNiV,Object,AccountUser
21,[],"[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'nsWULmTyCz'}]",phenau2,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'DsxxKYyZB5'}",djougangmp@yahoo.com,True,2019-11-28T10:10:44.905Z,2019-11-28T10:31:59.174Z,True,,,wwaTA7tp5a,Object,AccountUser
22,"[{'__type': 'Pointer', 'className': 'ServiceSubscripted', 'objectId': 'Ss2EOWdQub'}]","[{'__type': 'Pointer', 'className': 'AccountGroup', 'objectId': 'ZsV5RnmlPo'}]",isgghhhbbbbbjjklh,"{'__type': 'Pointer', 'className': '_User', 'objectId': 'hKnvWYfAGs'}",ismaellongouate@gmail.com,True,2020-02-18T15:58:31.009Z,2020-03-09T16:53:04.064Z,True,,"{'__type': 'Pointer', 'className': '_User', 'objectId': '4J60SXAGWB'}",Dxf53oeuUc,Object,AccountUser
23,[],[],djd,"{'__type': 'Pointer', 'className': '_User', 'objectId': '4J60SXAGWB'}",djdjd@djd.com,True,2020-05-12T20:16:25.606Z,2020-05-12T20:16:30.615Z,True,,,Nv2PrmBW88,Object,AccountUser
